header,taxon,protein,sp,description,vog
1892569.YP_010091668.1 RNA polymerase sigma factor [Cronobacter phage Pet-CM3-4],1892569,YP_010091668.1,Cronobacter phage Pet-CM3-4, RNA polymerase sigma factor,VOG02363
1897742.YP_009875928.1 sigma factor involved in late transcription [Salmonella phage ST-W77],1897742,YP_009875928.1,Salmonella phage ST-W77, sigma factor involved in late transcription,VOG02363
1904491.YP_009597179.1 putative sigma factor for late transcription [Campylobacter phage vB_CjeM_Los1],1904491,YP_009597179.1,Campylobacter phage vB_CjeM_Los1, putative sigma factor for late transcription,VOG02363
1913049.YP_010076683.1 RNA polymerase sigma factor [Shigella phage SH7],1913049,YP_010076683.1,Shigella phage SH7, RNA polymerase sigma factor,VOG02363
1913572.YP_010089363.1 RNA polymerase sigma factor for late transcription [Klebsiella phage KPV15],1913572,YP_010089363.1,Klebsiella phage KPV15, RNA polymerase sigma factor for late transcription,VOG02363
1914209.YP_002854400.1 RNA polymerase sigma factor [Escherichia virus RB14],1914209,YP_002854400.1,Escherichia virus RB14, RNA polymerase sigma factor,VOG02363
1932889.YP_010074789.1 RNA polymerase sigma factor [Escherichia phage YUEEL01],1932889,YP_010074789.1,Escherichia phage YUEEL01, RNA polymerase sigma factor,VOG02363
1958914.YP_009876541.1 sigma factor for late transcription [Salmonella phage BSP101],1958914,YP_009876541.1,Salmonella phage BSP101, sigma factor for late transcription,VOG02363
1962671.YP_009599739.1 sigma factor for late transcription [Serratia phage BF],1962671,YP_009599739.1,Serratia phage BF, sigma factor for late transcription,VOG02363
1965363.YP_010089651.1 hypothetical protein [Yersinia phage fHe-Yen9-01],1965363,YP_010089651.1,Yersinia phage fHe-Yen9-01, hypothetical protein,VOG02363
1965365.YP_009965517.1 RNA polymerase sigma factor [Escherichia phage CF2],1965365,YP_009965517.1,Escherichia phage CF2, RNA polymerase sigma factor,VOG02363
1965367.YP_009965698.1 RNA polymerase sigma factor [Escherichia phage HP3],1965367,YP_009965698.1,Escherichia phage HP3, RNA polymerase sigma factor,VOG02363
1970776.YP_010090165.1 RNA polymerase sigma factor [Escherichia phage phiC120],1970776,YP_010090165.1,Escherichia phage phiC120, RNA polymerase sigma factor,VOG02363
1978922.YP_009832989.1 sigma factor for late transcription [Aeromonas phage phiA8-29],1978922,YP_009832989.1,Aeromonas phage phiA8-29, sigma factor for late transcription,VOG02363
1981499.YP_009602009.1 sigma factor [Escherichia phage ECD7],1981499,YP_009602009.1,Escherichia phage ECD7, sigma factor,VOG02363
1983556.YP_010090648.1 sigma factor [Pseudomonas phage PspYZU05],1983556,YP_010090648.1,Pseudomonas phage PspYZU05, sigma factor,VOG02363
1983572.YP_010090426.1 sigma factor [Synechococcus phage S-H35],1983572,YP_010090426.1,Synechococcus phage S-H35, sigma factor,VOG02363
1987993.YP_004327474.1 Gp55 sigma factor for late transcription [Salmonella virus ViI],1987993,YP_004327474.1,Salmonella virus ViI, Gp55 sigma factor for late transcription,VOG02363
2005047.YP_009608337.1 RNA polymerase sigma factor [Escherichia phage ST0],2005047,YP_009608337.1,Escherichia phage ST0, RNA polymerase sigma factor,VOG02363
2006941.YP_009609387.1 sigma factor for late transcription [Serratia phage CHI14],2006941,YP_009609387.1,Serratia phage CHI14, sigma factor for late transcription,VOG02363
2006942.YP_010092210.1 sigma factor for late transcription [Serratia phage X20],2006942,YP_010092210.1,Serratia phage X20, sigma factor for late transcription,VOG02363
2010329.YP_009609705.1 hypothetical protein [Acidovorax phage ACP17],2010329,YP_009609705.1,Acidovorax phage ACP17, hypothetical protein,VOG02363
2023996.YP_009791298.1 late transcription sigma factor [Synechococcus phage Bellamy],2023996,YP_009791298.1,Synechococcus phage Bellamy, late transcription sigma factor,VOG02363
2024208.YP_009834328.1 thioredoxin [Aeromonas phage AS-zj],2024208,YP_009834328.1,Aeromonas phage AS-zj, thioredoxin,VOG02363
2024264.YP_009612359.1 hypothetical protein [Agrobacterium phage Atu_ph07],2024264,YP_009612359.1,Agrobacterium phage Atu_ph07, hypothetical protein,VOG02363
2024308.YP_009618877.1 RNA polymerase sigma factor [Shigella phage Sf21],2024308,YP_009618877.1,Shigella phage Sf21, RNA polymerase sigma factor,VOG02363
2024309.YP_009619273.1 RNA polymerase sigma factor [Shigella phage Sf24],2024309,YP_009619273.1,Shigella phage Sf24, RNA polymerase sigma factor,VOG02363
2024320.YP_009614988.1 RNA polymerase sigma factor [Shigella phage Sf22],2024320,YP_009614988.1,Shigella phage Sf22, RNA polymerase sigma factor,VOG02363
2024321.YP_010076538.1 RNA polymerase sigma factor [Shigella phage Sf23],2024321,YP_010076538.1,Shigella phage Sf23, RNA polymerase sigma factor,VOG02363
2025809.YP_010091929.1 RNA polymerase subunit sigma [Proteus phage PM2],2025809,YP_010091929.1,Proteus phage PM2, RNA polymerase subunit sigma,VOG02363
2025815.YP_010067751.1 RNA polymerase sigma factor [Escherichia phage EC121],2025815,YP_010067751.1,Escherichia phage EC121, RNA polymerase sigma factor,VOG02363
2025816.YP_010068301.1 RNA polymerase sigma factor [Escherichia phage ECO4],2025816,YP_010068301.1,Escherichia phage ECO4, RNA polymerase sigma factor,VOG02363
2025818.YP_009877705.1 sigma factor for late transcription [Salmonella phage SP1],2025818,YP_009877705.1,Salmonella phage SP1, sigma factor for late transcription,VOG02363
2025823.YP_010075227.1 RNA polymerase sigma factor [Salmonella phage SG1],2025823,YP_010075227.1,Salmonella phage SG1, RNA polymerase sigma factor,VOG02363
2026082.YP_009613141.1 RNA polymerase sigma factor [Aeromonas phage AS-gz],2026082,YP_009613141.1,Aeromonas phage AS-gz, RNA polymerase sigma factor,VOG02363
2026113.YP_009834959.1 RNA polymerase sigma factor [Aeromonas phage AS-sw],2026113,YP_009834959.1,Aeromonas phage AS-sw, RNA polymerase sigma factor,VOG02363
2041413.YP_009615540.1 RNA polymerase subunit sigma [Salmonella phage Melville],2041413,YP_009615540.1,Salmonella phage Melville, RNA polymerase subunit sigma,VOG02363
2052742.YP_009623847.1 hypothetical protein [Yersinia phage fHe-Yen9-04],2052742,YP_009623847.1,Yersinia phage fHe-Yen9-04, hypothetical protein,VOG02363
2052930.YP_010076950.1 RNA polymerase sigma factor [Yersinia phage fPS-2],2052930,YP_010076950.1,Yersinia phage fPS-2, RNA polymerase sigma factor,VOG02363
2052931.YP_010091372.1 RNA polymerase sigma factor [Yersinia phage fPS-65],2052931,YP_010091372.1,Yersinia phage fPS-65, RNA polymerase sigma factor,VOG02363
2052932.YP_010091100.1 RNA polymerase sigma factor [Yersinia phage fPS-90],2052932,YP_010091100.1,Yersinia phage fPS-90, RNA polymerase sigma factor,VOG02363
2053671.YP_009879516.1 sigma factor [Escherichia phage FEC14],2053671,YP_009879516.1,Escherichia phage FEC14, sigma factor,VOG02363
2053701.YP_010092784.1 sigma factor for late transcription [Aeromonas phage Ah1],2053701,YP_010092784.1,Aeromonas phage Ah1, sigma factor for late transcription,VOG02363
2054272.YP_009796235.1 transcription sigma factor [Klebsiella phage May],2054272,YP_009796235.1,Klebsiella phage May, transcription sigma factor,VOG02363
2054273.YP_009796457.1 transcription sigma factor [Klebsiella phage Menlow],2054273,YP_009796457.1,Klebsiella phage Menlow, transcription sigma factor,VOG02363
2054274.YP_009879742.1 transcription sigma factor [Salmonella phage Mutine],2054274,YP_009879742.1,Salmonella phage Mutine, transcription sigma factor,VOG02363
2060720.YP_010073435.1 RNA polymerase sigma factor [Escherichia phage PP01],2060720,YP_010073435.1,Escherichia phage PP01, RNA polymerase sigma factor,VOG02363
2060721.YP_010073714.1 RNA polymerase sigma factor [Escherichia phage T2],2060721,YP_010073714.1,Escherichia phage T2, RNA polymerase sigma factor,VOG02363
2065203.YP_010093752.1 RNA polymerase subunit sigma [Proteus phage phiP4-3],2065203,YP_010093752.1,Proteus phage phiP4-3, RNA polymerase subunit sigma,VOG02363
2070028.YP_009836761.1 RNA polymerase subunit sigma [Klebsiella phage vB_Kpn_F48],2070028,YP_009836761.1,Klebsiella phage vB_Kpn_F48, RNA polymerase subunit sigma,VOG02363
2070200.YP_009880179.1 putative sigma factor for late transcription [Escherichia phage EP75],2070200,YP_009880179.1,Escherichia phage EP75, putative sigma factor for late transcription,VOG02363
2079262.YP_009798968.1 RNA polymerase sigma factor [Klebsiella phage vB_KpnM_KpS110],2079262,YP_009798968.1,Klebsiella phage vB_KpnM_KpS110, RNA polymerase sigma factor,VOG02363
2079276.YP_010065124.1 RNA polymerase sigma factor [Citrobacter phage vB_CroM_CrRp10],2079276,YP_010065124.1,Citrobacter phage vB_CroM_CrRp10, RNA polymerase sigma factor,VOG02363
2079315.YP_010069087.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM-fFiEco06],2079315,YP_010069087.1,Escherichia phage vB_EcoM-fFiEco06, RNA polymerase sigma factor,VOG02363
2081604.YP_010069632.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM-G28],2081604,YP_010069632.1,Escherichia phage vB_EcoM-G28, RNA polymerase sigma factor,VOG02363
2083276.YP_010090754.1 Sigma factor for late transcription [Escherichia phage EcS1],2083276,YP_010090754.1,Escherichia phage EcS1, Sigma factor for late transcription,VOG02363
2099338.YP_009837684.1 sigma factor [Erwinia phage vB_EamM-Bue1],2099338,YP_009837684.1,Erwinia phage vB_EamM-Bue1, sigma factor,VOG02363
2100130.YP_010097737.1 hypothetical protein [Synechococcus virus S-PRM1],2100130,YP_010097737.1,Synechococcus virus S-PRM1, hypothetical protein,VOG02363
2108137.YP_010093953.1 RNA polymerase sigma factor [Enterobacter phage myPSH1140],2108137,YP_010093953.1,Enterobacter phage myPSH1140, RNA polymerase sigma factor,VOG02363
2137745.YP_009877076.1 Gp55 T4-like sigma factor involved in late transcription [Enterobacter phage EspM4VN],2137745,YP_009877076.1,Enterobacter phage EspM4VN, Gp55 T4-like sigma factor involved in late transcription,VOG02363
2163633.YP_010094999.1 RNA polymerase sigma factor [Erwinia phage Cronus],2163633,YP_010094999.1,Erwinia phage Cronus, RNA polymerase sigma factor,VOG02363
2163887.YP_010094358.1 sigma factor for late transcription [Enterobacteria phage vB_EcoM_IME281],2163887,YP_010094358.1,Enterobacteria phage vB_EcoM_IME281, sigma factor for late transcription,VOG02363
2163889.YP_010094615.1 RNA polymerase sigma factor [Enterobacteria phage vB_EcoM_IME339],2163889,YP_010094615.1,Enterobacteria phage vB_EcoM_IME339, RNA polymerase sigma factor,VOG02363
2163890.YP_010066587.1 RNA polymerase sigma factor [Enterobacteria phage vB_EcoM_IME340],2163890,YP_010066587.1,Enterobacteria phage vB_EcoM_IME340, RNA polymerase sigma factor,VOG02363
2163891.YP_010094890.1 sigma factor for late transcription [Enterobacteria phage vB_EcoM_IME341],2163891,YP_010094890.1,Enterobacteria phage vB_EcoM_IME341, sigma factor for late transcription,VOG02363
2163978.YP_010095549.1 sigma factor [Aeromonas phage 50AhydR13PP],2163978,YP_010095549.1,Aeromonas phage 50AhydR13PP, sigma factor,VOG02363
2163979.YP_010095839.1 sigma factor for late transcription [Aeromonas phage 60AhydR15PP],2163979,YP_010095839.1,Aeromonas phage 60AhydR15PP, sigma factor for late transcription,VOG02363
2169687.YP_008532104.1 sigma factor for late transcription [Klebsiella virus 0507KN21],2169687,YP_008532104.1,Klebsiella virus 0507KN21, sigma factor for late transcription,VOG02363
2178927.YP_009889738.1 RNA polymerase sigma factor for late transcription [Acinetobacter phage AM101],2178927,YP_009889738.1,Acinetobacter phage AM101, RNA polymerase sigma factor for late transcription,VOG02363
2184699.YP_010072084.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_NBG2],2184699,YP_010072084.1,Escherichia phage vB_EcoM_NBG2, RNA polymerase sigma factor,VOG02363
2218499.YP_010071543.1 RNA polymerase sigma factor [Escherichia phage KIT03],2218499,YP_010071543.1,Escherichia phage KIT03, RNA polymerase sigma factor,VOG02363
2231347.YP_009880663.1 sigma factor for late transcription [Salmonella phage S118],2231347,YP_009880663.1,Salmonella phage S118, sigma factor for late transcription,VOG02363
2234047.YP_010096030.1 RNA polymerase subunit sigma [Klebsiella phage Mineola],2234047,YP_010096030.1,Klebsiella phage Mineola, RNA polymerase subunit sigma,VOG02363
2234080.YP_010096382.1 RNA polymerase sigma factor [Escherichia phage SF],2234080,YP_010096382.1,Escherichia phage SF, RNA polymerase sigma factor,VOG02363
2250214.YP_010097334.1 RNA polymerase sigma factor [Escherichia virus KFS-EC],2250214,YP_010097334.1,Escherichia virus KFS-EC, RNA polymerase sigma factor,VOG02363
2267236.YP_009618125.1 RNA polymerase sigma factor [Citrobacter phage CF1 ERZ-2017],2267236,YP_009618125.1,Citrobacter phage CF1 ERZ-2017, RNA polymerase sigma factor,VOG02363
2267403.YP_009838256.1 RNA polymerase binding protein [Vibrio phage YC],2267403,YP_009838256.1,Vibrio phage YC, RNA polymerase binding protein,VOG02363
2268578.YP_009810928.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-T4],2268578,YP_009810928.1,Synechococcus phage S-T4, RNA polymerase sigma factor for late transcription,VOG02363
2269366.YP_009880881.1 sigma factor [Acinetobacter phage vB_ApiM_fHyAci03],2269366,YP_009880881.1,Acinetobacter phage vB_ApiM_fHyAci03, sigma factor,VOG02363
2301647.YP_009881404.1 sigma factor for late transcription [Salmonella phage SenALZ1],2301647,YP_009881404.1,Salmonella phage SenALZ1, sigma factor for late transcription,VOG02363
2301648.YP_009881205.1 sigma factor for late transcription [Salmonella phage SenASZ3],2301648,YP_009881205.1,Salmonella phage SenASZ3, sigma factor for late transcription,VOG02363
2301662.YP_009881592.1 sigma factor [Acinetobacter phage KARL-1],2301662,YP_009881592.1,Acinetobacter phage KARL-1, sigma factor,VOG02363
2315580.YP_010073006.1 RNA polymerase sigma factor [Escherichia phage vB_vPM_PD112],2315580,YP_010073006.1,Escherichia phage vB_vPM_PD112, RNA polymerase sigma factor,VOG02363
2315700.YP_010098625.1 RNA polymerase subunit sigma [Klebsiella phage KP179],2315700,YP_010098625.1,Klebsiella phage KP179, RNA polymerase subunit sigma,VOG02363
2321390.YP_010077329.1 RNA polymerase sigma factor [Yersinia phage PYPS2T],2321390,YP_010077329.1,Yersinia phage PYPS2T, RNA polymerase sigma factor,VOG02363
233894.YP_656283.1 RNA polymerase sigma factor [Aeromonas virus 25],233894,YP_656283.1,Aeromonas virus 25, RNA polymerase sigma factor,VOG02363
2340715.YP_010093113.1 RNA polymerase sigma factor [Shigella phage phi25-307],2340715,YP_010093113.1,Shigella phage phi25-307, RNA polymerase sigma factor,VOG02363
238854.YP_195148.1 Sigma factor for late transcription [Synechococcus phage S-PM2],238854,YP_195148.1,Synechococcus phage S-PM2, Sigma factor for late transcription,VOG02363
2419752.YP_009881843.1 hypothetical protein [Salmonella phage SeSz-1],2419752,YP_009881843.1,Salmonella phage SeSz-1, hypothetical protein,VOG02363
2419930.YP_009841979.1 putative late transcription sigma factor [Serratia phage vB_SmaA_3M],2419930,YP_009841979.1,Serratia phage vB_SmaA_3M, putative late transcription sigma factor,VOG02363
2420240.YP_010067484.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_DalCa],2420240,YP_010067484.1,Escherichia phage vB_EcoM_DalCa, RNA polymerase sigma factor,VOG02363
2448909.YP_010099853.1 RNA polymerase sigma factor [Escherichia phage MLF4],2448909,YP_010099853.1,Escherichia phage MLF4, RNA polymerase sigma factor,VOG02363
2479933.YP_010100115.1 RNA polymerase sigma factor [Escherichia phage p000v],2479933,YP_010100115.1,Escherichia phage p000v, RNA polymerase sigma factor,VOG02363
2484640.YP_009816059.1 sigma factor for late transcription [Synechococcus phage S-P4],2484640,YP_009816059.1,Synechococcus phage S-P4, sigma factor for late transcription,VOG02363
2499909.YP_010100211.1 sigma factor for late transcription [Escherichia phage AnYang],2499909,YP_010100211.1,Escherichia phage AnYang, sigma factor for late transcription,VOG02363
2500761.YP_010100603.1 sigma factor for late transcription [Escherichia phage vB_EcoM_005],2500761,YP_010100603.1,Escherichia phage vB_EcoM_005, sigma factor for late transcription,VOG02363
2500827.YP_009882304.1 RNA polymerase sigma factor for late transcription [Acinetobacter phage AbTZA1],2500827,YP_009882304.1,Acinetobacter phage AbTZA1, RNA polymerase sigma factor for late transcription,VOG02363
2502301.YP_010070165.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_G4498],2502301,YP_010070165.1,Escherichia phage vB_EcoM_G4498, RNA polymerase sigma factor,VOG02363
2502303.YP_010069897.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_G50],2502303,YP_010069897.1,Escherichia phage vB_EcoM_G50, RNA polymerase sigma factor,VOG02363
2502306.YP_010070445.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_G4507],2502306,YP_010070445.1,Escherichia phage vB_EcoM_G4507, RNA polymerase sigma factor,VOG02363
2508177.YP_010072353.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_OE5505],2508177,YP_010072353.1,Escherichia phage vB_EcoM_OE5505, RNA polymerase sigma factor,VOG02363
2508179.YP_010069362.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_G8],2508179,YP_010069362.1,Escherichia phage vB_EcoM_G8, RNA polymerase sigma factor,VOG02363
2508180.YP_010071270.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_KAW1E185],2508180,YP_010071270.1,Escherichia phage vB_EcoM_KAW1E185, RNA polymerase sigma factor,VOG02363
2508181.YP_010070720.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_G9062],2508181,YP_010070720.1,Escherichia phage vB_EcoM_G9062, RNA polymerase sigma factor,VOG02363
2508194.YP_009822590.1 hypothetical protein [Escherichia phage vB_EcoM_KWBSE43-6],2508194,YP_009822590.1,Escherichia phage vB_EcoM_KWBSE43-6, hypothetical protein,VOG02363
2530042.YP_009882904.1 hypothetical protein [Shigella phage MK-13],2530042,YP_009882904.1,Shigella phage MK-13, hypothetical protein,VOG02363
2555548.YP_009844374.1 hypothetical protein [Stenotrophomonas phage YB07],2555548,YP_009844374.1,Stenotrophomonas phage YB07, hypothetical protein,VOG02363
2576882.YP_010067974.1 RNA polymerase sigma factor [Escherichia phage EcNP1],2576882,YP_010067974.1,Escherichia phage EcNP1, RNA polymerase sigma factor,VOG02363
2584487.YP_009845829.1 hypothetical protein [Vibrio phage VAP7],2584487,YP_009845829.1,Vibrio phage VAP7, hypothetical protein,VOG02363
2587809.YP_009850249.1 RNA polymerase subunit sigma [Klebsiella phage Marfa],2587809,YP_009850249.1,Klebsiella phage Marfa, RNA polymerase subunit sigma,VOG02363
2589660.YP_009883537.1 sigma factor for late transcription [Klebsiella phage Magnus],2589660,YP_009883537.1,Klebsiella phage Magnus, sigma factor for late transcription,VOG02363
2591056.YP_010075870.1 RNA polymerase sigma factor [Shigella phage CM8],2591056,YP_010075870.1,Shigella phage CM8, RNA polymerase sigma factor,VOG02363
2591063.YP_010076143.1 RNA polymerase sigma factor [Shigella phage JK45],2591063,YP_010076143.1,Shigella phage JK45, RNA polymerase sigma factor,VOG02363
2592196.YP_009890048.1 sigma factor involved in late transcription [Salmonella phage SE14],2592196,YP_009890048.1,Salmonella phage SE14, sigma factor involved in late transcription,VOG02363
2592220.YP_009883222.1 sigma factor involved in late transcription [Salmonella phage SS9],2592220,YP_009883222.1,Salmonella phage SS9, sigma factor involved in late transcription,VOG02363
260149.YP_004300873.1 RNA polymerase sigma factor [Aeromonas virus 65],260149,YP_004300873.1,Aeromonas virus 65, RNA polymerase sigma factor,VOG02363
2601678.YP_009883780.1 RNA polymerase sigma factor [Serratia phage Muldoon],2601678,YP_009883780.1,Serratia phage Muldoon, RNA polymerase sigma factor,VOG02363
2601680.YP_009850730.1 RNA polymerase sigma factor [Stenotrophomonas phage Moby],2601680,YP_009850730.1,Stenotrophomonas phage Moby, RNA polymerase sigma factor,VOG02363
2650877.YP_009851079.1 RNA polymerase sigma factor [Stenotrophomonas phage Mendera],2650877,YP_009851079.1,Stenotrophomonas phage Mendera, RNA polymerase sigma factor,VOG02363
2656520.YP_010075333.1 RNA polymerase sigma factor [Salmonella phage pSe_SNUABM_01],2656520,YP_010075333.1,Salmonella phage pSe_SNUABM_01, RNA polymerase sigma factor,VOG02363
2656521.YP_009884807.1 sigma factor for late transcription [Klebsiella virus UPM 2146],2656521,YP_009884807.1,Klebsiella virus UPM 2146, sigma factor for late transcription,VOG02363
2666257.YP_009885292.1 RNA polymerase sigma factor for late transcription [Acinetobacter phage vB_AbaM_Konradin],2666257,YP_009885292.1,Acinetobacter phage vB_AbaM_Konradin, RNA polymerase sigma factor for late transcription,VOG02363
2686289.YP_009886882.1 RNA polymerase sigma factor for late transcription [Acinetobacter phage vB_AbaM_Lazarus],2686289,YP_009886882.1,Acinetobacter phage vB_AbaM_Lazarus, RNA polymerase sigma factor for late transcription,VOG02363
2686290.YP_009886138.1 RNA polymerase sigma factor for late transcription [Acinetobacter phage vB_AbaM_Berthold],2686290,YP_009886138.1,Acinetobacter phage vB_AbaM_Berthold, RNA polymerase sigma factor for late transcription,VOG02363
2686303.YP_009886632.1 RNA polymerase sigma factor for late transcription [Acinetobacter phage vB_AbaM_Kimel],2686303,YP_009886632.1,Acinetobacter phage vB_AbaM_Kimel, RNA polymerase sigma factor for late transcription,VOG02363
2686308.YP_009886383.1 RNA polymerase sigma factor for late transcription [Acinetobacter phage vB_AbaM_Apostate],2686308,YP_009886383.1,Acinetobacter phage vB_AbaM_Apostate, RNA polymerase sigma factor for late transcription,VOG02363
2686437.YP_009854065.1 hypothetical protein [Vibrio phage vB_VchM_Kuja],2686437,YP_009854065.1,Vibrio phage vB_VchM_Kuja, hypothetical protein,VOG02363
268746.YP_214376.1 sigma factor for late transcription [Prochlorococcus phage P-SSM2],268746,YP_214376.1,Prochlorococcus phage P-SSM2, sigma factor for late transcription,VOG02363
268747.YP_214679.1 sigma factor for late transcription [Prochlorococcus phage P-SSM4],268747,YP_214679.1,Prochlorococcus phage P-SSM4, sigma factor for late transcription,VOG02363
2690230.YP_009887240.1 sigma factor [Acinetobacter phage vB_AbaM_PhT2],2690230,YP_009887240.1,Acinetobacter phage vB_AbaM_PhT2, sigma factor,VOG02363
2691085.YP_010077569.1 RNA polymerase sigma factor [Yersinia phage vB_YepM_ZN18],2691085,YP_010077569.1,Yersinia phage vB_YepM_ZN18, RNA polymerase sigma factor,VOG02363
2696339.YP_010068811.1 RNA polymerase sigma factor [Escherichia phage F2],2696339,YP_010068811.1,Escherichia phage F2, RNA polymerase sigma factor,VOG02363
2696340.YP_009856059.1 sigma factor for T4 late transcription [Enterobacter phage vB_EclM_CIP9],2696340,YP_009856059.1,Enterobacter phage vB_EclM_CIP9, sigma factor for T4 late transcription,VOG02363
2697536.YP_010073957.1 RNA polymerase sigma factor [Escherichia phage teqdroes],2697536,YP_010073957.1,Escherichia phage teqdroes, RNA polymerase sigma factor,VOG02363
2697537.YP_010074270.1 RNA polymerase sigma factor [Escherichia phage teqhad],2697537,YP_010074270.1,Escherichia phage teqhad, RNA polymerase sigma factor,VOG02363
2697539.YP_010074696.1 RNA polymerase sigma factor [Escherichia phage teqskov],2697539,YP_010074696.1,Escherichia phage teqskov, RNA polymerase sigma factor,VOG02363
2698907.YP_009966570.1 hypothetical protein [Salmonella phage Se-G],2698907,YP_009966570.1,Salmonella phage Se-G, hypothetical protein,VOG02363
2698910.YP_009966889.1 hypothetical protein [Salmonella phage Se-J],2698910,YP_009966889.1,Salmonella phage Se-J, hypothetical protein,VOG02363
2700089.YP_009949006.1 hypothetical protein [Salmonella phage Se-B],2700089,YP_009949006.1,Salmonella phage Se-B, hypothetical protein,VOG02363
2712940.YP_009889411.1 sigma factor involved in late transcription [Salmonella phage P46FS4],2712940,YP_009889411.1,Salmonella phage P46FS4, sigma factor involved in late transcription,VOG02363
2712972.YP_010106179.1 RNA polymerase sigma factor [Phage NBEco003],2712972,YP_010106179.1,Phage NBEco003, RNA polymerase sigma factor,VOG02363
2713273.YP_009888193.1 sigma factor involved in late transcription [Salmonella phage aagejoakim],2713273,YP_009888193.1,Salmonella phage aagejoakim, sigma factor involved in late transcription,VOG02363
2713274.YP_009887785.1 sigma factor involved in late transcription [Salmonella phage allotria],2713274,YP_009887785.1,Salmonella phage allotria, sigma factor involved in late transcription,VOG02363
2713278.YP_009888601.1 sigma factor involved in late transcription [Salmonella phage barely],2713278,YP_009888601.1,Salmonella phage barely, sigma factor involved in late transcription,VOG02363
2713281.YP_009887992.1 sigma factor involved in late transcription [Salmonella phage bering],2713281,YP_009887992.1,Salmonella phage bering, sigma factor involved in late transcription,VOG02363
2713292.YP_009888395.1 sigma factor involved in late transcription [Salmonella phage dinky],2713292,YP_009888395.1,Salmonella phage dinky, sigma factor involved in late transcription,VOG02363
2713301.YP_009887602.1 sigma factor involved in late transcription [Salmonella phage heyday],2713301,YP_009887602.1,Salmonella phage heyday, sigma factor involved in late transcription,VOG02363
2713304.YP_009889208.1 sigma factor involved in late transcription [Salmonella phage maane],2713304,YP_009889208.1,Salmonella phage maane, sigma factor involved in late transcription,VOG02363
2713306.YP_009888800.1 sigma factor involved in late transcription [Salmonella phage moki],2713306,YP_009888800.1,Salmonella phage moki, sigma factor involved in late transcription,VOG02363
2713310.YP_009889009.1 sigma factor involved in late transcription [Salmonella phage pertopsoe],2713310,YP_009889009.1,Salmonella phage pertopsoe, sigma factor involved in late transcription,VOG02363
2713314.YP_009887411.1 sigma factor involved in late transcription [Salmonella phage rabagast],2713314,YP_009887411.1,Salmonella phage rabagast, sigma factor involved in late transcription,VOG02363
2716727.YP_010065709.1 RNA polymerase sigma factor [Citrobacter phage PhiZZ23],2716727,YP_010065709.1,Citrobacter phage PhiZZ23, RNA polymerase sigma factor,VOG02363
2716728.YP_010065436.1 RNA polymerase sigma factor [Citrobacter phage PhiZZ6],2716728,YP_010065436.1,Citrobacter phage PhiZZ6, RNA polymerase sigma factor,VOG02363
2716729.YP_010075608.1 RNA polymerase sigma factor [Serratia phage PhiZZ30],2716729,YP_010075608.1,Serratia phage PhiZZ30, RNA polymerase sigma factor,VOG02363
2723773.YP_010107225.1 RNA polymerase sigma factor [Agrobacterium phage OLIVR5],2723773,YP_010107225.1,Agrobacterium phage OLIVR5, RNA polymerase sigma factor,VOG02363
2724310.YP_010071104.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_IME537],2724310,YP_010071104.1,Escherichia phage vB_EcoM_IME537, RNA polymerase sigma factor,VOG02363
2750846.YP_010068549.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_F1],2750846,YP_010068549.1,Escherichia phage vB_EcoM_F1, RNA polymerase sigma factor,VOG02363
2750850.YP_010071811.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_Lutter],2750850,YP_010071811.1,Escherichia phage vB_EcoM_Lutter, RNA polymerase sigma factor,VOG02363
2750851.YP_010072633.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_Ozark],2750851,YP_010072633.1,Escherichia phage vB_EcoM_Ozark, RNA polymerase sigma factor,VOG02363
2772511.YP_009594784.1 sigma factor for late transcription [Pectinobacterium phage vB_PcaM_CBB],2772511,YP_009594784.1,Pectinobacterium phage vB_PcaM_CBB, sigma factor for late transcription,VOG02363
279006.YP_004300680.1 gp55 RNA polymerase sigma factor [Acinetobacter virus 133],279006,YP_004300680.1,Acinetobacter virus 133, gp55 RNA polymerase sigma factor,VOG02363
2880362.NP_943911.1 RNA polymerase sigma factor [Aeromonas phage Aeh1],2880362,NP_943911.1,Aeromonas phage Aeh1, RNA polymerase sigma factor,VOG02363
2881391.YP_007005152.1 putative sigma factor for T4-like late transcription (T4 gp55-like) [Campylobacter phage CP21],2881391,YP_007005152.1,Campylobacter phage CP21, putative sigma factor for T4-like late transcription (T4 gp55-like),VOG02363
