REGION,REGION_LENGTH,COMPLETENESS(score),SPECIFIC_KEYWORD,REGION_POSITION,TRNA_NUM,TOTAL_PROTEIN_NUM,PHAGE_HIT_PROTEIN_NUM,HYPOTHETICAL_PROTEIN_NUM,PHAGE+HYPO_PROTEIN_PERCENTAGE,BACTERIAL_PROTEIN_NUM,ATT_SITE_SHOWUP,PHAGE_SPECIES_NUM,MOST_COMMON_PHAGE_NAME(hit_genes_count),FIRST_MOST_COMMON_PHAGE_NUM,FIRST_MOST_COMMON_PHAGE_PERCENTAGE,GC_PERCENTAGE,acc,MOST_COMMON_PHAGE_NAME,MOST_COMMON_PHAGE_NUM,MOST_COMMON_PHAGE_PERCENTAGE
4,11.1Kb,incomplete(40),"tail,plate",3152985-3164151,0,15,8,0,53.3%,7,no,6,"PHAGE_Deep_s_D6E_NC_019544(2),PHAGE_Pseudo_LMA2_NC_011166(1),PHAGE_Pseudo_phiPsa374_NC_023601(1),PHAGE_Escher_JES_2013_NC_022323(1),PHAGE_Erwini_phiEt88_NC_015295(1),PHAGE_Escher_JH2_NC_029023(1),PHAGE_Entero_vB_EcoM_FV3_NC_019517(1),PHAGE_Pseudo_NH_4_NC_019451(1),PHAGE_Pseudo_SN_NC_011756(1),PHAGE_Clostr_phiCD27_NC_011398(1),PHAGE_Escher_rv5_NC_011041(1),PHAGE_Lister_B054_NC_009813(1),PHAGE_Lactob_LBR48_NC_027990(1),PHAGE_Entero_phiEcoM_GJ1_NC_010106(1),PHAGE_Salmon_HB_2014_NC_027329(1),PHAGE_Escher_EC6_NC_027369(1),PHAGE_Sinorh_phiLM21_NC_029046(1),PHAGE_Escher_vB_EcoM_FFH2_NC_024134(1),PHAGE_Aeromo_pAh6_C_NC_025459(1),PHAGE_Pseudo_vB_PaeM_PAO1_Ab27_NC_026586(1),PHAGE_Pseudo_VCM_NC_029065(1),PHAGE_Acinet_YMC13/03/R2096_NC_027332(1),PHAGE_Salmon_BPS15Q2_NC_031939(1),PHAGE_Pseudo_JG024_NC_017674(1),PHAGE_Escher_slur16_NC_028248(1)",2,13.33%,39.04%,AE016823.1,NA,NA,NA
1,43.9Kb,intact(140),"terminase,portal,capsid,head,tail,recombinase,integrase",403390-447381,0,23,15,4,82.6%,4,yes,11,"PHAGE_Paenib_Harrison_NC_028746(4),PHAGE_Paenib_Vegas_NC_028767(4),PHAGE_Bacill_WBeta_NC_007734(2),PHAGE_Paenib_phiIBB_Pl23_NC_021865(2),PHAGE_Bacill_Fah_NC_007814(2),PHAGE_Lactob_Ld3_NC_025421(2),PHAGE_Entero_mEp235_NC_019708(2),PHAGE_Clostr_phiCD6356_NC_015262(2),PHAGE_Geobac_E2_NC_009552(2),PHAGE_Bacill_Gamma_NC_007458(2),PHAGE_Bacill_phiNIT1_NC_021856(1),PHAGE_Bacill_Grass_NC_022771(1),PHAGE_Escher_Av_05_NC_025830(1),PHAGE_Salmon_ST64B_NC_004313(1),PHAGE_Klebsi_vB_KpnM_KB57_NC_028659(1),PHAGE_Shigel_SfIV_NC_022749(1),PHAGE_Klebsi_phiKO2_NC_005857(1),PHAGE_Xantho_Xp10_NC_004902(1),PHAGE_Bacill_phi4J1_NC_029008(1),PHAGE_Bacill_IEBH_NC_011167(1),PHAGE_Nocard_NBR1_NC_016569(1),PHAGE_Bacill_phBC6A51_NC_004820(1),PHAGE_Strept_Dp_1_NC_015274(1),PHAGE_Lactob_Ld17_NC_025420(1),PHAGE_Burkho_KS9_NC_013055(1),PHAGE_Lactob_iLp84_NC_028783(1),PHAGE_Entero_phiP27_NC_003356(1),PHAGE_Strept_phiNJ2_NC_019418(1),PHAGE_Entero_phiFL3A_NC_013648(1),PHAGE_Salini_CW02_NC_019540(1),PHAGE_Bacter_Diva_NC_028788(1),PHAGE_Deep_s_D6E_NC_019544(1),PHAGE_Lactob_Ld25A_NC_025415(1),PHAGE_Entero_4MG_NC_022968(1),PHAGE_Bacill_TP21_L_NC_011645(1),PHAGE_Lactob_c5_NC_019449(1),PHAGE_Lactoc_BM13_NC_021861(1),PHAGE_Burkho_phi6442_NC_009235(1),PHAGE_Paenib_HB10c2_NC_028758(1),PHAGE_Rhizob_16_3_NC_011103(1),PHAGE_Bacill_BMBtp2_NC_019912(1),PHAGE_Pseudo_D3_NC_002484(1),PHAGE_Strept_SF1_NC_028807(1),PHAGE_Entero_phiFL2A_NC_013643(1),PHAGE_Lister_B025_NC_009812(1),PHAGE_Burkho_Bcep176_NC_007497(1),PHAGE_Lister_LP_101_NC_024387(1),PHAGE_Bacter_Lily_NC_028841(1),PHAGE_Entero_phiFL4A_NC_013644(1),PHAGE_Burkho_phiE125_NC_003309(1),PHAGE_Paenib_Xenia_NC_028837(1),PHAGE_Burkho_phi1026b_NC_005284(1),PHAGE_Entero_phiFL1A_NC_013646(1),PHAGE_Lactoc_TP901_1_NC_002747(1)",4,17.39%,40.58%,AE017194.1,NA,NA,NA
2,14.7Kb,incomplete(30),coat,1338771-1353520,0,19,11,4,78.9%,4,no,9,"PHAGE_Sphing_PAU_NC_019521(4),PHAGE_Entero_phi92_NC_023693(4),PHAGE_Escher_phAPEC8_NC_020079(4),PHAGE_Bacill_G_NC_023719(2),PHAGE_Mycoba_Troll4_NC_011285(1),PHAGE_Mycoba_PBI1_NC_008198(1),PHAGE_Mycoba_Firecracker_NC_023712(1),PHAGE_Bacill_Shanette_NC_028983(1),PHAGE_Synech_S_SKS1_NC_020851(1),PHAGE_Mycoba_Dylan_NC_022325(1),PHAGE_Mycoba_Bxz2_NC_004682(1),PHAGE_Actino_phiAsp2_NC_005885(1),PHAGE_Mycoba_Hawkeye_NC_024209(1),PHAGE_Mycoba_Gumball_NC_011290(1),PHAGE_Mycoba_MiaZeal_NC_028953(1),PHAGE_Bacill_0305phi8_36_NC_009760(1),PHAGE_Mycoba_BrownCNA_NC_028968(1),PHAGE_Mycoba_Courthouse_NC_023690(1),PHAGE_Bacill_JL_NC_028982(1),PHAGE_Bacill_SPbeta_NC_001884(1),PHAGE_Synech_S_SM2_NC_015279(1),PHAGE_Mycoba_Bane1_NC_022331(1),PHAGE_Mycoba_Corndog_NC_004685(1),PHAGE_Bacill_phBC6A52_NC_004821(1),PHAGE_Bacill_CP_51_NC_025423(1)",3,21.05%,36.18%,AE017194.1,NA,NA,NA
1,39.4Kb,questionable(70),"protease,head,terminase,integrase",1175279-1214754,0,29,15,11,89.6%,3,yes,11,NA,NA,NA,37.77%,AE017226.1,PHAGE_Salmon_SPN1S,5,17.2%
1,13.4Kb,questionable(80),"tail,plate",1052344-1065797,0,13,9,3,92.3%,1,no,3,"PHAGE_Bacill_BCD7_NC_019515(6),PHAGE_Synech_S_CAM22_NC_031903(2),PHAGE_Sinorh_phiN3_NC_028945(2),PHAGE_Sinorh_phiM12_NC_027204(2),PHAGE_Rhizob_RR1_B_NC_021557(1),PHAGE_Clostr_phiCD119_NC_007917(1),PHAGE_Synech_ACG_2014e_NC_026928(1),PHAGE_Lactoc_949_NC_015263(1),PHAGE_Synech_S_RSM4_NC_013085(1),PHAGE_Lactoc_phiL47_NC_023574(1),PHAGE_Synech_ACG_2014i_NC_027132(1),PHAGE_Clostr_phiCDHM19_NC_028996(1),PHAGE_Burkho_phiE255_NC_009237(1),PHAGE_Cyanop_S_TIM5_NC_019516(1),PHAGE_Vibrio_X29_NC_024369(1),PHAGE_Bacill_SP_15_NC_031245(1),PHAGE_Burkho_BcepMu_NC_005882(1),PHAGE_Campyl_CPX_NC_016562(1),PHAGE_Lactoc_WRP3_NC_027341(1)",7,46.15%,66.89%,AE017180.2,NA,NA,NA
1,17.9Kb,incomplete(40),"transposase,tail",732167-750071,0,24,10,13,95.8%,1,yes,9,NA,NA,NA,38.98%,AE017125.1,PHAGE_Campyl_NCTC12673,2,8.3%
1,62.7Kb,intact(144),recombinase,1803335-1866036,0,72,72,0,100%,0,yes,1,"PHAGE_Bacill_phBC6A51_NC_004820(72),PHAGE_Bacill_WBeta_NC_007734(7),PHAGE_Bacill_Gamma_NC_007458(7),PHAGE_Bacill_Fah_NC_007814(6),PHAGE_Bacill_phIS3501_NC_019502(6),PHAGE_Staphy_SpaA1_NC_018277(5),PHAGE_Bacill_BMBtpLA_NC_028748(5),PHAGE_Bacill_0305phi8_36_NC_009760(5),PHAGE_Geobac_E2_NC_009552(4),PHAGE_Bacill_phi4J1_NC_029008(3),PHAGE_Bacill_BCD7_NC_019515(3),PHAGE_Paenib_Vegas_NC_028767(3),PHAGE_Paenib_Harrison_NC_028746(2),PHAGE_Bacill_IEBH_NC_011167(2),PHAGE_Paenib_Tripp_NC_028930(2),PHAGE_Bacill_phiCM3_NC_023599(2),PHAGE_Clostr_phiCTP1_NC_014457(2),PHAGE_Staphy_Ipla5_NC_018281(2),PHAGE_Bacill_Waukesha92_NC_025424(2),PHAGE_Staphy_B236_NC_028915(2),PHAGE_Lactob_iA2_NC_028830(2),PHAGE_Strept_Dp_1_NC_015274(2),PHAGE_Strept_SMP_NC_008721(2),PHAGE_Bacill_250_NC_029024(2),PHAGE_Geobac_GBSV1_NC_008376(2),PHAGE_Escher_Av_05_NC_025830(1),PHAGE_Entero_QL01_NC_028847(1),PHAGE_Lactob_phig1e_NC_004305(1),PHAGE_Staphy_92_NC_007064(1),PHAGE_Strept_MM1_NC_003050(1),PHAGE_Bacill_Shanette_NC_028983(1),PHAGE_Thermu_P2345_NC_009803(1),PHAGE_Burkho_KS10_NC_011216(1),PHAGE_Ralsto_RSL1_NC_010811(1),PHAGE_Entero_CC31_NC_014662(1),PHAGE_Thermu_P7426_NC_009804(1),PHAGE_Lactob_LF1_NC_019486(1),PHAGE_Lactoc_BK5_T_NC_002796(1),PHAGE_Pseudo_LPB1_NC_027298(1),PHAGE_Bacill_Bobb_NC_024792(1),PHAGE_Bacill_BtCS33_NC_018085(1),PHAGE_Entero_4MG_NC_022968(1),PHAGE_Staphy_EW_NC_007056(1),PHAGE_Staphy_88_NC_007063(1),PHAGE_Paenib_HB10c2_NC_028758(1),PHAGE_Bacill_SP10_NC_019487(1),PHAGE_Paenib_PG1_NC_021558(1),PHAGE_Bacter_Lily_NC_028841(1),PHAGE_Paenib_Xenia_NC_028837(1),PHAGE_Paenib_Fern_NC_028851(1),PHAGE_Paenib_phiIBB_Pl23_NC_021865(1),PHAGE_Bacill_vB_BceM_Bc431v3_NC_020873(1),PHAGE_Clostr_phiSM101_NC_008265(1),PHAGE_Vibrio_SHOU24_NC_023569(1),PHAGE_Vibrio_pVp_1_NC_019529(1),PHAGE_Salmon_SP_058_NC_021772(1),PHAGE_Clostr_phiMMP02_NC_019421(1),PHAGE_Lactob_iLp84_NC_028783(1),PHAGE_Bacill_CP_51_NC_025423(1),PHAGE_Salini_CW02_NC_019540(1),PHAGE_Clostr_phiCD505_NC_028764(1),PHAGE_Rhizob_vB_RleS_L338C_NC_023502(1),PHAGE_Clostr_phiCT19406C_NC_029006(1),PHAGE_Entero_IME08_NC_014260(1),PHAGE_Bacill_phi105_NC_004167(1),PHAGE_Brevib_Osiris_NC_028969(1),PHAGE_Clostr_phiCD27_NC_011398(1),PHAGE_Pseudo_D3112_NC_005178(1),PHAGE_Idioma_Phi1M2_2_NC_025471(1),PHAGE_Bacill_phBC6A52_NC_004821(1),PHAGE_Vibrio_SIO_2_NC_016567(1),PHAGE_Pseudo_UFV_P2_NC_018850(1)",72,100%,37.64%,AE016877.1,NA,NA,NA
2,58.5Kb,intact(150),head,2520823-2579367,0,49,49,0,100%,0,yes,1,"PHAGE_Bacill_phBC6A52_NC_004821(49),PHAGE_Bacill_phiCM3_NC_023599(8),PHAGE_Bacill_BtCS33_NC_018085(8),PHAGE_Lactob_iA2_NC_028830(7),PHAGE_Bacill_WBeta_NC_007734(6),PHAGE_Bacill_Fah_NC_007814(6),PHAGE_Bacill_phIS3501_NC_019502(5),PHAGE_Bacill_Gamma_NC_007458(4),PHAGE_Staphy_SpaA1_NC_018277(4),PHAGE_Bacill_IEBH_NC_011167(3),PHAGE_Clostr_phiCT19406C_NC_029006(3),PHAGE_Lister_LP_030_2_NC_021539(3),PHAGE_Klebsi_phiKO2_NC_005857(2),PHAGE_Lactob_c5_NC_019449(2),PHAGE_Bacill_1_NC_009737(2),PHAGE_Lister_2389_NC_003291(2),PHAGE_Paenib_Harrison_NC_028746(1),PHAGE_Bacill_PBC1_NC_017976(1),PHAGE_Lactob_Ld3_NC_025421(1),PHAGE_Bacill_Page_NC_022764(1),PHAGE_Bacill_phi4J1_NC_029008(1),PHAGE_Bacill_phi4B1_NC_028886(1),PHAGE_Strept_SpSL1_NC_027396(1),PHAGE_Bacill_Bcp1_NC_024137(1),PHAGE_Lactob_Ld17_NC_025420(1),PHAGE_Lactob_LF1_NC_019486(1),PHAGE_Burkho_KS9_NC_013055(1),PHAGE_Lactob_iLp84_NC_028783(1),PHAGE_Shigel_POCJ13_NC_025434(1),PHAGE_Brevib_Abouo_NC_029029(1),PHAGE_Burkho_phi6442_NC_009235(1),PHAGE_Strept_PH10_NC_012756(1),PHAGE_Lactob_LLKu_NC_022989(1),PHAGE_Bacill_phi105_NC_004167(1),PHAGE_Lactob_phiLdb_NC_022762(1),PHAGE_Brevib_Davies_NC_022980(1),PHAGE_Bacill_BMBtpLA_NC_028748(1),PHAGE_Entero_phiFL2A_NC_013643(1),PHAGE_Yersin_PY54_NC_005069(1),PHAGE_Clostr_phi3626_NC_003524(1),PHAGE_Bacill_Waukesha92_NC_025424(1),PHAGE_Bacill_250_NC_029024(1),PHAGE_Burkho_phiE125_NC_003309(1),PHAGE_Bacill_BCP8_2_NC_027355(1),PHAGE_Entero_phiFL1A_NC_013646(1),PHAGE_Lactoc_TP901_1_NC_002747(1),PHAGE_Clostr_PhiS63_NC_017978(1)",49,100%,34.17%,AE016877.1,NA,NA,NA
3,12.8Kb,incomplete(20),integrase,3655937-3668825,0,16,14,2,100%,0,yes,10,"PHAGE_Bacill_WBeta_NC_007734(3),PHAGE_Bacill_phi4J1_NC_029008(3),PHAGE_Bacill_phBC6A51_NC_004820(3),PHAGE_Geobac_E2_NC_009552(3),PHAGE_Bacill_phIS3501_NC_019502(3),PHAGE_Bacill_BMBtpLA_NC_028748(3),PHAGE_Paenib_phiIBB_Pl23_NC_021865(2),PHAGE_Bacill_phi4B1_NC_028886(2),PHAGE_Bacill_BtCS33_NC_018085(2),PHAGE_Paenib_Fern_NC_028851(1),PHAGE_Bacill_MG_B1_NC_021336(1),PHAGE_Mycoba_Liefie_NC_023705(1),PHAGE_Bacill_Fah_NC_007814(1),PHAGE_Bacill_Shanette_NC_028983(1),PHAGE_Clostr_phi24R_NC_019523(1),PHAGE_Staphy_StB20_like_NC_028821(1),PHAGE_Lactob_iA2_NC_028830(1),PHAGE_Staphy_29_NC_007061(1),PHAGE_Staphy_phi2958PVL_NC_011344(1),PHAGE_Lactob_LP65_NC_006565(1),PHAGE_Staphy_47_NC_007054(1),PHAGE_Staphy_X2_NC_007065(1),PHAGE_Bacill_G_NC_023719(1),PHAGE_Entero_EFC_1_NC_025453(1),PHAGE_Bacill_phiCM3_NC_023599(1),PHAGE_Paenib_Tripp_NC_028930(1),PHAGE_Bacill_CP_51_NC_025423(1),PHAGE_Strept_YMC_2011_NC_018285(1),PHAGE_Mycoba_Angel_NC_012788(1),PHAGE_Deep_s_D6E_NC_019544(1),PHAGE_Bacill_Gamma_NC_007458(1),PHAGE_Staphy_SpaA1_NC_018277(1),PHAGE_Paenib_Vegas_NC_028767(1),PHAGE_Geobac_GBK2_NC_023612(1),PHAGE_Brevib_Osiris_NC_028969(1),PHAGE_Bacill_VMY22_NC_028789(1),PHAGE_Bacill_0305phi8_36_NC_009760(1),PHAGE_Mycoba_Halo_NC_008202(1),PHAGE_Strept_SMP_NC_008721(1),PHAGE_Paenib_PG1_NC_021558(1),PHAGE_Clostr_phiCT9441A_NC_029022(1),PHAGE_Entero_phiFL4A_NC_013644(1),PHAGE_Thermo_THSA_485A_NC_018264(1),PHAGE_Lactob_phiJB_NC_022775(1),PHAGE_Lactoc_TP901_1_NC_002747(1),PHAGE_Bacill_phBC6A52_NC_004821(1),PHAGE_Geobac_GBSV1_NC_008376(1)",3,18.75%,34.39%,AE016877.1,NA,NA,NA
4,10.4Kb,incomplete(40),"transposase,protease",5072694-5083111,0,10,7,1,80%,2,no,6,"PHAGE_Paenib_Xenia_NC_028837(2),PHAGE_Plankt_PaV_LD_NC_016564(1),PHAGE_Rhodov_RS1_NC_020866(1),PHAGE_Bacter_Diva_NC_028788(1),PHAGE_Rhodob_RC1_NC_020839(1),PHAGE_Bacill_SPbeta_NC_001884(1),PHAGE_Bacter_Sitara_NC_028854(1),PHAGE_Burkho_phi1026b_NC_005284(1),PHAGE_Bacill_G_NC_023719(1),PHAGE_Salmon_SSU5_NC_018843(1)",2,20%,37.32%,AE016877.1,NA,NA,NA
5,6.4Kb,incomplete(40),"transposase,plate",5089874-5096357,0,7,6,0,85.7%,1,no,6,"PHAGE_Clostr_c_st_NC_007581(4),PHAGE_Bacill_phiNIT1_NC_021856(1),PHAGE_Rhodot_RM378_NC_004735(1),PHAGE_Escher_JES_2013_NC_022323(1),PHAGE_Bacill_Shanette_NC_028983(1),PHAGE_Lactoc_bIL312_NC_002671(1),PHAGE_Vibrio_VBP47_NC_020848(1),PHAGE_Entero_vB_EcoM_FV3_NC_019517(1),PHAGE_Escher_rv5_NC_011041(1),PHAGE_Bacill_0305phi8_36_NC_009760(1),PHAGE_Clostr_phiCDHM19_NC_028996(1),PHAGE_Entero_phiEF24C_NC_009904(1),PHAGE_Entero_EFLK1_NC_029026(1),PHAGE_Lactob_LP65_NC_006565(1),PHAGE_Pseudo_pYD6_A_NC_020849(1),PHAGE_Staphy_SA11_NC_019511(1),PHAGE_Escher_vB_EcoM_FFH2_NC_024134(1),PHAGE_Clostr_phiCD506_NC_028838(1),PHAGE_Helico_phiHP33_NC_016568(1),PHAGE_Escher_slur16_NC_028248(1),PHAGE_Vibrio_VBP32_NC_020868(1),PHAGE_Clostr_phiCD481_1_NC_028951(1),PHAGE_Lactob_iLp1308_NC_028911(1)",1,57.14%,36.78%,AE016877.1,NA,NA,NA
1,43.9Kb,intact(125),"integrase,terminase,portal,head,capsid,tail,lysin",288966-332964,0,53,49,3,98.1%,1,yes,4,NA,NA,NA,37.59%,AE016830.1,PHAGE_Entero_phiFL4A,46,86.7%
2,22.3Kb,incomplete(30),tail,1237657-1259965,0,25,17,3,80%,5,no,11,NA,NA,NA,38.53%,AE016830.1,PHAGE_Entero_phiEf11,6,24%
3,48.1Kb,incomplete(50),"integrase,terminase",1398051-1446151,1,70,51,10,87.1%,9,yes,18,NA,NA,NA,35.03%,AE016830.1,PHAGE_Lister_B054,28,40%
4,30.4Kb,questionable(70),"tail,head,portal,integrase",1932005-1962485,1,34,20,11,91.1%,3,yes,15,NA,NA,NA,33.14%,AE016830.1,PHAGE_Entero_phiFL2A,5,14.7%
5,18.4Kb,incomplete(20),tail,2002278-2020730,2,15,10,4,93.3%,1,no,6,NA,NA,NA,33.67%,AE016830.1,PHAGE_Lactoc_P087,3,20%
6,26.6Kb,incomplete(40),"recombinase,integrase",2023234-2049919,1,43,26,12,88.3%,5,yes,12,NA,NA,NA,33.63%,AE016830.1,PHAGE_Entero_phiFL1A,8,18.6%
7,39.5Kb,questionable(90),"transposase,lysin,tail,head,integrase",2697272-2736808,2,57,44,8,91.2%,5,yes,21,NA,NA,NA,34.87%,AE016830.1,PHAGE_Bacill_phBC6A52,14,24.5%
1,15.8Kb,incomplete(20),transposase,1113947-1129781,0,9,6,1,77.7%,2,yes,4,"PHAGE_Entero_EF62phi(6),PHAGE_Sodali_phiSG1(1),PHAGE_Burkho_phiE255(1),PHAGE_Bacill_SPBc2(1),PHAGE_Stx2_converting_II(1),PHAGE_Burkho_BcepMu(1),PHAGE_Saimir_herpesvirus_2(1),PHAGE_Entero_BP_4795(1)",3,66.66%,41.23%,AE015928.1,NA,NA,NA
2,28.8Kb,incomplete(10),NA,1641955-1670820,0,29,23,0,79.3%,6,no,3,"PHAGE_Entero_EF62phi(41),PHAGE_Synech_S_SSM7(2),PHAGE_Prochl_P_SSM2(2),PHAGE_Cronob_vB_CsaM_GAP32(1),PHAGE_Prochl_P_SSM7(1),PHAGE_Ostreo_OlV1(1),PHAGE_Entero_vB_KleM_RaK2(1),PHAGE_Parame_bursaria_Chlorella_virus_1(1),PHAGE_Sphing_PAU(1),PHAGE_Cafete_BV_PW1(1),PHAGE_Vibrio_12B8(1),PHAGE_Vibrio_PWH3a_P1(1),PHAGE_Acanth_turfacea_Chlorella_virus_1(1),PHAGE_Entero_YYZ_2008(1),PHAGE_Parame_bursaria_Chlorella_virus_FR483(1),PHAGE_Escher_phAPEC8(1),PHAGE_Parame_bursaria_Chlorella_virus_AR158(1),PHAGE_Acanth_moumouvirus(1),PHAGE_Ostreo_virus_OsV5(1),PHAGE_Entero_RB16(1)",21,141.37%,40.63%,AE015928.1,NA,NA,NA
3,31.1Kb,incomplete(20),NA,1673648-1704769,0,28,18,0,64.2%,10,no,7,"PHAGE_Entero_EF62phi(20),PHAGE_Synech_S_SKS1(2),PHAGE_Parame_bursaria_Chlorella_virus_NY2A(2),PHAGE_Parame_bursaria_Chlorella_virus_AR158(2),PHAGE_Staphy_phiN315(1),PHAGE_Emilia_huxleyi_virus_86(1),PHAGE_Ostreo_OlV1(1),PHAGE_Parame_bursaria_Chlorella_virus_1(1),PHAGE_Cellul_phi10:1(1),PHAGE_Rhizob_RR1_A(1),PHAGE_Brocho_NF5(1),PHAGE_Cafete_BV_PW1(1),PHAGE_Strept_mu1_6(1),PHAGE_Flavob_11b(1),PHAGE_Rhodoc_E3(1),PHAGE_Canary_virus(1),PHAGE_Rhizob_16_3(1),PHAGE_Acanth_turfacea_Chlorella_virus_1(1),PHAGE_Prochl_P_SSM2(1),PHAGE_Clavib_CMP1(1),PHAGE_Parame_bursaria_Chlorella_virus_FR483(1),PHAGE_Lister_B054(1),PHAGE_Cellul_phi46:3(1),PHAGE_Cellul_phi13:2(1),PHAGE_Crocei_P2559S(1),PHAGE_Escher_phAPEC8(1),PHAGE_Fowlpo_virus(1),PHAGE_Cellul_phi19:3(1),PHAGE_Microm_MpV1(1),PHAGE_Acanth_mimivirus(1)",12,71.42%,42.37%,AE015928.1,NA,NA,NA
4,18.9Kb,incomplete(20),tail,2231037-2250007,0,6,6,0,100%,0,yes,5,"PHAGE_Entero_EF62phi(11),PHAGE_Bacill_phiNIT1(1),PHAGE_Synech_S_CBS4(1),PHAGE_Strept_PH10(1),PHAGE_Entero_YYZ_2008(1),PHAGE_Marseillevirus(1),PHAGE_Entero_JS98(1),PHAGE_Cyanop_P_RSM6(1)",2,183.33%,41.04%,AE015928.1,NA,NA,NA
5,19.2Kb,incomplete(20),integrase,2403142-2422431,0,16,11,1,75%,4,no,4,"PHAGE_Entero_EF62phi(12),PHAGE_Ectoca_siliculosus_virus_1(1),PHAGE_Synech_Syn5(1),PHAGE_Lactob_JCL1032(1),PHAGE_Mycoba_Brujita(1),PHAGE_Pectob_My1(1),PHAGE_Azospi_Cd(1),PHAGE_Roseop_EE36P1(1),PHAGE_Strept_pyogenes_315_1(1),PHAGE_Pandor_dulcis(1),PHAGE_Bathyc_BpV1(1),PHAGE_Halovi_HGTV_1(1),PHAGE_Lausan(1),PHAGE_Prochl_P_SSP7(1),PHAGE_Entero_EF62phi(1),PHAGE_Flavob_6H(1),PHAGE_Entero_P2(1)",8,75%,45.00%,AE015928.1,NA,NA,NA
6,26.1Kb,incomplete(10),NA,3360681-3386830,0,37,34,0,91.8%,3,no,1,"PHAGE_Entero_EF62phi(42),PHAGE_Phaeoc_virus(2),PHAGE_Cafete_BV_PW1(1),PHAGE_Wisean_virus(1),PHAGE_Acanth_mimivirus(1)",34,113.51%,39.90%,AE015928.1,NA,NA,NA
1,65.1Kb,intact(150),"integrase,transposase,lysin,portal,virion,protease,head,tail",655830-720989,0,48,29,0,60.4%,19,yes,12,NA,NA,NA,48.26%,AE014299.2,PHAGE_Entero_Mu,12,25%
2,40.8Kb,intact(130),"transposase,portal,virion,head,tail,plate",2788311-2829191,0,59,37,0,62.7%,22,no,14,NA,NA,NA,47.14%,AE014299.2,PHAGE_Entero_Mu,22,37.2%
3,54.6Kb,intact(150),"tail,virion,head,capsid,protease,terminase,integrase",3074870-3129490,0,81,39,0,48.1%,42,yes,25,NA,NA,NA,46.88%,AE014299.2,PHAGE_Pseudo_vB_PaeS_PMG1,12,14.8%
1,45.7Kb,intact(110),"transposase,integrase,terminase,plate,tail,lysin",554829-600594,1,69,52,11,91.3%,6,yes,25,NA,NA,NA,36.68%,AE009948.1,PHAGE_Strept_3,19,27.5%
2,59.5Kb,questionable(90),"lysin,capsid,head,portal,terminase,integrase",1816883-1876441,1,51,40,9,96%,2,yes,17,NA,NA,NA,38.55%,AE009948.1,PHAGE_Strept_PH10,17,33.3%
3,33.5Kb,incomplete(40),integrase,1944856-1978401,1,25,14,7,84%,4,yes,13,NA,NA,NA,35.18%,AE009948.1,PHAGE_Lactoc_bIL309,2,8%
1,8.5Kb,incomplete(20),transposase,662622-671140,0,11,6,3,81.8%,2,no,6,"PHAGE_Gordon_Nymphadora_NC_031061(2),PHAGE_Lister_vB_LmoS_293_NC_028929(1),PHAGE_Staphy_phiPV83_NC_002486(1),PHAGE_Brevib_Abouo_NC_029029(1),PHAGE_Brocho_BL3_NC_015254(1),PHAGE_Brevib_Osiris_NC_028969(1),PHAGE_Brevib_Davies_NC_022980(1),PHAGE_Plankt_PaV_LD_NC_016564(1),PHAGE_Staphy_StauST398_4_NC_023499(1),PHAGE_Acinet_Bphi_B1251_NC_019541(1),PHAGE_Strept_315.2_NC_004585(1),PHAGE_Bacill_SPbeta_NC_001884(1),PHAGE_Bacill_G_NC_023719(1),PHAGE_Mycopl_phiMFV1_NC_005964(1),PHAGE_Lister_LP_030_3_NC_024384(1),PHAGE_Lactoc_TP901_1_NC_002747(1)",1,18.18%,59.87%,AE006470.1,NA,NA,NA
1,37.2Kb,intact(100),"integrase,tail,transposase,protease",1209093-1246346,2,26,16,7,88.4%,3,yes,15,NA,NA,NA,61.35%,AE008923.1,PROPHAGE_Xantho_33913,2,7.6%
2,29.1Kb,intact(150),"tail,capsid,terminase,lysin,virion,plate,transposase",3099741-3128919,0,35,27,3,85.7%,5,no,17,NA,NA,NA,61.08%,AE008923.1,PHAGE_Pseudo_phiCTX,7,20%
1,12.2Kb,incomplete(30),"integrase,lysin",2120287-2132536,0,10,7,2,90%,1,yes,7,"PHAGE_Staphy_SPbeta_like_NC_029119(2),PHAGE_Acidia_virus_NC_029316(1),PHAGE_Bacill_BPS10C_NC_023501(1),PHAGE_Cellul_phi38:1_NC_021796(1),PHAGE_Bacill_DirtyBetty_NC_031054(1),PHAGE_Lactoc_949_NC_015263(1),PHAGE_Sulfol_STSV1_NC_006268(1),PHAGE_Gordon_GMA6_NC_030906(1),PHAGE_Sulfol_STSV2_NC_020077(1),PHAGE_Bacill_BalMu_1_NC_030945(1),PHAGE_Lactoc_phiL47_NC_023574(1),PHAGE_Bacill_Nigalana_NC_031037(1),PHAGE_Lactob_phiPYB5_NC_027982(1),PHAGE_Acidia_1_NC_009965(1),PHAGE_Acidia_virus_NC_007409(1),PHAGE_Lactob_LfeInf_NC_029058(1),PHAGE_Bacill_G_NC_023719(1),PHAGE_Vibrio_X29_NC_024369(1),PHAGE_Bacill_BPS13_NC_018857(1),PHAGE_Lactoc_WRP3_NC_027341(1),PHAGE_Geobac_GBSV1_NC_008376(1)",1,20%,38.74%,AE008691.1,NA,NA,NA
