header,taxon,protein,sp,description,vog,.species.name,phage.nonphage,source,source.version,acc,n_clstr,nt,perc_id_to_rep,is_rep,virus name,virus lineage,refseq id,KEGG GENOME,KEGG DISEASE,DISEASE,host tax id,host name,domain,phylum,class,order,family.etc,pmid,evidence,sample type,source organism,n.host,viral.family,protClstr,aa,perc.id_protClstr,protClstr_rep
1720496.YP_009625183.1 RNA polymerase sigma factor [Escherichia phage slur03],1720496,YP_009625183.1,Escherichia phage slur03, RNA polymerase sigma factor,VOG02363,Escherichia phage slur03,phage,NCBI Refseq,209,NC_042129,2814,167467,100,TRUE,Escherichia phage slur03,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus slur03,NC_042129,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,Myoviridae,0,185,100,FALSE
1720497.YP_009625286.1 RNA polymerase sigma factor [Escherichia phage slur04],1720497,YP_009625286.1,Escherichia phage slur04, RNA polymerase sigma factor,VOG02363,Escherichia phage slur04,phage,NCBI Refseq,209,NC_042130,2806,167298,100,TRUE,Escherichia phage slur04,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus slur04,NC_042130,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,Myoviridae,0,185,100,FALSE
1720500.YP_009197387.1 RNA polymerase sigma factor [Escherichia phage slur07],1720500,YP_009197387.1,Escherichia phage slur07, RNA polymerase sigma factor,VOG02363,Escherichia phage slur07,phage,NCBI Refseq,209,NC_028780,2855,167124,100,TRUE,Escherichia phage slur07,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; unclassified Tequatrovirus,NC_028780,NA,NA,NA,561,Escherichia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NCBI Virus,NA,NA,1,Myoviridae,0,185,100,FALSE
1720504.YP_009180839.1 RNA polymerase sigma factor [Escherichia phage slur14],1720504,YP_009180839.1,Escherichia phage slur14, RNA polymerase sigma factor,VOG02363,Escherichia phage slur14,phage,NCBI Refseq,209,NC_028448,2813,167467,100,TRUE,Escherichia phage slur14,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; unclassified Tequatrovirus,NC_028448,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,"NCBI Virus, RefSeq",NA,NA,1,Myoviridae,0,185,100,FALSE
1777059.YP_010088553.1 RNA polymerase sigma factor [Escherichia phage phiE142],1777059,YP_010088553.1,Escherichia phage phiE142, RNA polymerase sigma factor,VOG02363,Escherichia phage phiE142,phage,NCBI Refseq,209,NC_055709,2507,121442,100,TRUE,Escherichia phage phiE142,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Mosigvirus; unclassified Mosigvirus,NC_055709,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,"NCBI Virus, RefSeq",NA,NA,1,Myoviridae,3,185,99.46000000000001,FALSE
1785960.YP_009277201.1 hypothetical protein [Ralstonia phage RSP15],1785960,YP_009277201.1,Ralstonia phage RSP15, hypothetical protein,VOG02363,Ralstonia phage RSP15,phage,NCBI Refseq,209,NC_030948,2794,167619,100,TRUE,Ralstonia phage RSP15,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; unclassified Ackermannviridae,NC_030948,NA,NA,NA,48736,Ralstonia,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,NA,NCBI Virus,NA,NA,1,Ackermannviridae,256,201,100,TRUE
1815521.YP_009325116.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-WAM1],1815521,YP_009325116.1,Synechococcus phage S-WAM1, RNA polymerase sigma factor for late transcription,VOG02363,Synechococcus phage S-WAM1,phage,NCBI Refseq,209,NC_031944,2934,185102,100,TRUE,Synechococcus phage S-WAM1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Libanvirus; unclassified Libanvirus,NC_031944,NA,NA,NA,1131,Synechococcus sp.,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,Myoviridae,145,163,100,TRUE
1815522.YP_009324296.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-WAM2],1815522,YP_009324296.1,Synechococcus phage S-WAM2, RNA polymerase sigma factor for late transcription,VOG02363,Synechococcus phage S-WAM2,phage,NCBI Refseq,209,NC_031935,2956,186386,100,TRUE,Synechococcus phage S-WAM2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Cymopoleiavirus; Synechococcus virus SWAM2,NC_031935,NA,NA,NA,1131,Synechococcus sp.,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,RefSeq,NA,NA,1,Myoviridae,84,169,100,TRUE
1815590.YP_009290333.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM-UFV13],1815590,YP_009290333.1,Escherichia phage vB_EcoM-UFV13, RNA polymerase sigma factor,VOG02363,Escherichia phage vB_EcoM-UFV13,phage,NCBI Refseq,209,NC_031103,2864,165772,100,TRUE,Escherichia phage vB_EcoM-UFV13,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; unclassified Tequatrovirus,NC_031103,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,"NCBI Virus, RefSeq",NA,NA,1,Myoviridae,0,185,100,FALSE
1815630.YP_009595551.1 hypothetical protein [Pseudomonas phage pf16],1815630,YP_009595551.1,Pseudomonas phage pf16, hypothetical protein,VOG02363,Pseudomonas phage pf16,phage,NCBI Refseq,209,NC_041881,3303,158136,100,TRUE,Pseudomonas phage pf16,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Chakrabartyvirus; Pseudomonas virus pf16,NC_041881,NA,NA,NA,303,Pseudomonas putida,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae; Pseudomonas; Pseudomonas putida group,NA,RefSeq,NA,NA,1,Myoviridae,245,212,100,TRUE
1815631.YP_009286421.1 RNA polymerase subunit sigma [Salmonella phage vB_SnwM_CGG4-1],1815631,YP_009286421.1,Salmonella phage vB_SnwM_CGG4-1, RNA polymerase subunit sigma,VOG02363,Salmonella phage vB_SnwM_CGG4-1,phage,NCBI Refseq,209,NC_031065,3196,159878,100,TRUE,Salmonella phage vB_SnwM_CGG4-1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Gelderlandvirus; unclassified Gelderlandvirus,NC_031065,NA,NA,NA,108619,Salmonella enterica subsp. enterica serovar Newport,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,"NCBI Virus, RefSeq",NA,NA,1,Myoviridae,19,179,98.88,FALSE
1837867.YP_009281405.1 RNA polymerase sigma factor [Escherichia phage UFV-AREG1],1837867,YP_009281405.1,Escherichia phage UFV-AREG1, RNA polymerase sigma factor,VOG02363,Escherichia phage UFV-AREG1,phage,NCBI Refseq,209,NC_031030,3005,170788,100,TRUE,Escherichia phage UFV-AREG1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus AREG1,NC_031030,NA,NA,NA,1045010,Escherichia coli O157,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,NA,RefSeq,NA,NA,1,Myoviridae,0,185,100,FALSE
1837875.YP_010073300.1 RNA polymerase sigma factor [Escherichia phage PE37],1837875,YP_010073300.1,Escherichia phage PE37, RNA polymerase sigma factor,VOG02363,Escherichia phage PE37,phage,NCBI Refseq,209,NC_054929,2918,166423,100,TRUE,Escherichia phage PE37,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus PE37,NC_054929,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,Myoviridae,0,185,100,FALSE
1837930.YP_009323960.1 hypothetical protein [Escherichia phage MX01],1837930,YP_009323960.1,Escherichia phage MX01, hypothetical protein,VOG02363,Escherichia phage MX01,phage,NCBI Refseq,209,NC_031934,2836,168929,100,TRUE,Escherichia phage MX01,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Dhakavirus; Escherichia virus MX01,NC_031934,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,Myoviridae,4,185,95.67999999999999,FALSE
1837931.YP_009323265.1 hypothetical protein [Escherichia phage WG01],1837931,YP_009323265.1,Escherichia phage WG01, hypothetical protein,VOG02363,Escherichia phage WG01,phage,NCBI Refseq,209,NC_031928,3021,169936,100,TRUE,Escherichia phage WG01,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Dhakavirus; Escherichia virus WG01,NC_031928,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,Myoviridae,4,185,99.46000000000001,FALSE
1852625.YP_009288735.1 RNA polymerase subunit sigma [Klebsiella phage vB_KpnM_KpV477],1852625,YP_009288735.1,Klebsiella phage vB_KpnM_KpV477, RNA polymerase subunit sigma,VOG02363,Klebsiella phage vB_KpnM_KpV477,phage,NCBI Refseq,209,NC_031087,2842,168272,100,TRUE,Klebsiella phage vB_KpnM_KpV477,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Jiaodavirus; unclassified Jiaodavirus,NC_031087,NA,NA,NA,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Klebsiella,NA,"NCBI Virus, RefSeq",NA,NA,1,Myoviridae,21,182,99.45,FALSE
1852628.YP_009279908.1 sigma factor for late transcription [Morganella phage vB_MmoM_MP1],1852628,YP_009279908.1,Morganella phage vB_MmoM_MP1, sigma factor for late transcription,VOG02363,Morganella phage vB_MmoM_MP1,phage,NCBI Refseq,209,NC_031020,3237,163201,100,TRUE,Morganella phage vB_MmoM_MP1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_031020,NA,NA,NA,1912315,Morganella sp. (in: Bacteria),Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae; Morganella,NA,"NCBI Virus, RefSeq",NA,NA,1,Myoviridae,139,172,100,TRUE
1852638.YP_010088974.1 RNA polymerase sigma factor for late transcription [Escherichia phage phT4A],1852638,YP_010088974.1,Escherichia phage phT4A, RNA polymerase sigma factor for late transcription,VOG02363,Escherichia phage phT4A,phage,NCBI Refseq,209,NC_055712,3046,171598,100,TRUE,Escherichia phage phT4A,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Slopekvirus; unclassified Slopekvirus,NC_055712,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,"NCBI Virus, RefSeq",NA,NA,1,Myoviridae,10,172,100,FALSE
1852640.YP_009616079.1 sigma factor involved in late transcription [Serratia phage vB-Sru-IME250],1852640,YP_009616079.1,Serratia phage vB-Sru-IME250, sigma factor involved in late transcription,VOG02363,Serratia phage vB-Sru-IME250,phage,NCBI Refseq,209,NC_042047,3279,154938,100,TRUE,Serratia phage vB-Sru-IME250,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Taipeivirus; Serratia virus IME250,NC_042047,NA,NA,NA,61652,Serratia rubidaea,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae; Serratia,NA,RefSeq,NA,NA,1,Ackermannviridae,194,256,100,TRUE
1863007.YP_009288434.1 RNA polymerase sigma factor [Shigella phage SHBML-50-1],1863007,YP_009288434.1,Shigella phage SHBML-50-1, RNA polymerase sigma factor,VOG02363,Shigella phage SHBML-50-1,phage,NCBI Refseq,209,NC_031085,2890,166634,100,TRUE,Shigella phage SHBML-50-1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Shigella virus SHBML501,NC_031085,NA,NA,NA,624,Shigella sonnei,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Shigella,NA,RefSeq,NA,NA,1,Myoviridae,0,185,100,FALSE
1863008.YP_009277707.1 RNA polymerase sigma factor [Shigella phage SHFML-11],1863008,YP_009277707.1,Shigella phage SHFML-11, RNA polymerase sigma factor,VOG02363,Shigella phage SHFML-11,phage,NCBI Refseq,209,NC_030953,2993,170650,100,TRUE,Shigella phage SHFML-11,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Shigella virus SHFML11,NC_030953,NA,NA,NA,624,Shigella sonnei,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Shigella,NA,RefSeq,NA,NA,1,Myoviridae,0,185,100,FALSE
1863009.YP_009279059.1 RNA polymerase sigma factor [Shigella phage SHFML-26],1863009,YP_009279059.1,Shigella phage SHFML-26, RNA polymerase sigma factor,VOG02363,Shigella phage SHFML-26,phage,NCBI Refseq,209,NC_031011,2831,168993,100,TRUE,Shigella phage SHFML-26,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Shigella virus SHFML26,NC_031011,NA,NA,NA,624,Shigella sonnei,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Shigella,NA,RefSeq,NA,NA,1,Myoviridae,0,185,100,FALSE
1863011.YP_009289221.1 RNA polymerase sigma factor [Shigella phage SHSML-52-1],1863011,YP_009289221.1,Shigella phage SHSML-52-1, RNA polymerase sigma factor,VOG02363,Shigella phage SHSML-52-1,phage,NCBI Refseq,209,NC_031090,3008,169621,100,TRUE,Shigella phage SHSML-52-1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Mosigvirus; Shigella virus SHSML521,NC_031090,NA,NA,NA,624,Shigella sonnei,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Shigella,NA,RefSeq,NA,NA,1,Myoviridae,3,185,99.46000000000001,FALSE
1868169.YP_009283912.1 sigma factor involved in late transcription [Salmonella phage GG32],1868169,YP_009283912.1,Salmonella phage GG32, sigma factor involved in late transcription,VOG02363,Salmonella phage GG32,phage,NCBI Refseq,209,NC_031045,3295,157855,100,TRUE,Salmonella phage GG32,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus GG32,NC_031045,NA,NA,NA,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,Ackermannviridae,1,263,100,FALSE
1868654.YP_009293294.1 sigma factor [Salmonella phage vB-SalM-PM10],1868654,YP_009293294.1,Salmonella phage vB-SalM-PM10, sigma factor,VOG02363,Salmonella phage vB-SalM-PM10,phage,NCBI Refseq,209,NC_031128,3307,158081,100,TRUE,Salmonella phage vB-SalM-PM10,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus PM10,NC_031128,NA,NA,NA,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,Ackermannviridae,1,263,100,FALSE
1871313.YP_009285588.1 sigma factor [Citrobacter phage vB_CfrM_CfP1],1871313,YP_009285588.1,Citrobacter phage vB_CfrM_CfP1, sigma factor,VOG02363,Citrobacter phage vB_CfrM_CfP1,phage,NCBI Refseq,209,NC_031057,2929,180219,100,TRUE,Citrobacter phage vB_CfrM_CfP1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Pseudotevenvirus; unclassified Pseudotevenvirus,NC_031057,NA,NA,NA,544,Citrobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NCBI Virus,NA,NA,1,Myoviridae,6,171,99.42,FALSE
1873954.YP_009831348.1 sigma factor for late transcription [Cronobacter phage vB_CsaM_leE],1873954,YP_009831348.1,Cronobacter phage vB_CsaM_leE, sigma factor for late transcription,VOG02363,Cronobacter phage vB_CsaM_leE,phage,NCBI Refseq,209,NC_048646,2936,181570,100,TRUE,Cronobacter phage vB_CsaM_leE,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Pseudotevenvirus; Cronobacter virus leE,NC_048646,NA,NA,NA,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Cronobacter,NA,RefSeq,NA,NA,1,Myoviridae,6,171,100,FALSE
1880822.YP_009626287.1 T4-like phage RNA polymerase sigma factor for late transcription [Klebsiella phage PMBT1],1880822,YP_009626287.1,Klebsiella phage PMBT1, T4-like phage RNA polymerase sigma factor for late transcription,VOG02363,Klebsiella phage PMBT1,phage,NCBI Refseq,209,NC_042138,3027,175206,100,TRUE,Klebsiella phage PMBT1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Slopekvirus; Klebsiella virus PMBT1,NC_042138,NA,NA,NA,570,Klebsiella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,NA,NA,1,Myoviridae,10,172,100,FALSE
1883366.YP_009321412.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-CAM3],1883366,YP_009321412.1,Synechococcus phage S-CAM3, RNA polymerase sigma factor for late transcription,VOG02363,Synechococcus phage S-CAM3,phage,NCBI Refseq,209,NC_031906,2961,198190,100,TRUE,Synechococcus phage S-CAM3,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Charybdisvirus; Synechococcus virus SCAM3,NC_031906,NA,NA,NA,1131,Synechococcus sp.,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,RefSeq,NA,NA,1,Myoviridae,146,163,100,TRUE
1883367.YP_009320571.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-CAM4],1883367,YP_009320571.1,Synechococcus phage S-CAM4, RNA polymerase sigma factor for late transcription,VOG02363,Synechococcus phage S-CAM4,phage,NCBI Refseq,209,NC_031900,2987,191983,100,TRUE,Synechococcus phage S-CAM4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_031900,NA,NA,NA,1131,Synechococcus sp.,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,Myoviridae,28,164,99.39,FALSE
1883368.YP_009323086.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-CAM7],1883368,YP_009323086.1,Synechococcus phage S-CAM7, RNA polymerase sigma factor for late transcription,VOG02363,Synechococcus phage S-CAM7,phage,NCBI Refseq,209,NC_031927,2959,216121,100,TRUE,Synechococcus phage S-CAM7,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Mazuvirus; Synechococcus virus SCAM7,NC_031927,NA,NA,NA,1131,Synechococcus sp.,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,RefSeq,NA,NA,1,Myoviridae,171,158,100,TRUE
1883369.YP_009322553.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-CAM9],1883369,YP_009322553.1,Synechococcus phage S-CAM9, RNA polymerase sigma factor for late transcription,VOG02363,Synechococcus phage S-CAM9,phage,NCBI Refseq,209,NC_031922,3026,174830,100,TRUE,Synechococcus phage S-CAM9,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Kanaloavirus; Synechococcus virus SCAM9,NC_031922,NA,NA,NA,1131,Synechococcus sp.,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,RefSeq,NA,NA,1,Myoviridae,58,176,100,TRUE
1885242.YP_009831068.1 sigma factor for late transcription [Cronobacter phage vB_CsaM_leB],1885242,YP_009831068.1,Cronobacter phage vB_CsaM_leB, sigma factor for late transcription,VOG02363,Cronobacter phage vB_CsaM_leB,phage,NCBI Refseq,209,NC_048645,2955,177907,100,TRUE,Cronobacter phage vB_CsaM_leB,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Pseudotevenvirus; Cronobacter virus leB,NC_048645,NA,NA,NA,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Cronobacter,NA,RefSeq,NA,NA,1,Myoviridae,6,171,100,FALSE
1892569.YP_010091668.1 RNA polymerase sigma factor [Cronobacter phage Pet-CM3-4],1892569,YP_010091668.1,Cronobacter phage Pet-CM3-4, RNA polymerase sigma factor,VOG02363,Cronobacter phage Pet-CM3-4,phage,NCBI Refseq,209,NC_055726,3043,171975,100,TRUE,Cronobacter phage Pet-CM3-4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Karamvirus; unclassified Karamvirus,NC_055726,NA,NA,NA,1159491,Cronobacter malonaticus LMG 23826,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Cronobacter; Cronobacter malonaticus,NA,"NCBI Virus, RefSeq",NA,NA,1,Myoviridae,29,177,98.86999999999999,FALSE
1897742.YP_009875928.1 sigma factor involved in late transcription [Salmonella phage ST-W77],1897742,YP_009875928.1,Salmonella phage ST-W77, sigma factor involved in late transcription,VOG02363,Salmonella phage ST-W77,phage,NCBI Refseq,209,NC_049378,3326,157458,100,TRUE,Salmonella phage ST-W77,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus STW77,NC_049378,NA,NA,NA,590,Salmonella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,NA,NA,1,Ackermannviridae,1,263,100,FALSE
1904491.YP_009597179.1 putative sigma factor for late transcription [Campylobacter phage vB_CjeM_Los1],1904491,YP_009597179.1,Campylobacter phage vB_CjeM_Los1, putative sigma factor for late transcription,VOG02363,Campylobacter phage vB_CjeM_Los1,phage,NCBI Refseq,209,NC_041896,2446,134073,100,TRUE,Campylobacter phage vB_CjeM_Los1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Eucampyvirinae; Fletchervirus; Campylobacter virus Los1,NC_041896,NA,NA,NA,197,Campylobacter jejuni,Bacteria,Proteobacteria,delta/epsilon subdivisions,Epsilonproteobacteria,Campylobacterales; Campylobacteraceae; Campylobacter,NA,RefSeq,NA,NA,1,Myoviridae,14,289,98.27,FALSE
1913049.YP_010076683.1 RNA polymerase sigma factor [Shigella phage SH7],1913049,YP_010076683.1,Shigella phage SH7, RNA polymerase sigma factor,VOG02363,Shigella phage SH7,phage,NCBI Refseq,209,NC_054942,2860,164870,100,TRUE,Shigella phage SH7,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Shigella virus SH7,NC_054942,NA,NA,NA,625,Shigella sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Shigella,NA,RefSeq,NA,NA,1,Myoviridae,0,185,100,FALSE
1913572.YP_010089363.1 RNA polymerase sigma factor for late transcription [Klebsiella phage KPV15],1913572,YP_010089363.1,Klebsiella phage KPV15, RNA polymerase sigma factor for late transcription,VOG02363,Klebsiella phage KPV15,phage,NCBI Refseq,209,NC_055715,2899,167034,100,TRUE,Klebsiella phage KPV15,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Jiaodavirus; unclassified Jiaodavirus,NC_055715,NA,NA,NA,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Klebsiella,NA,"NCBI Virus, RefSeq",NA,NA,1,Myoviridae,116,134,100,TRUE
1914209.YP_002854400.1 RNA polymerase sigma factor [Escherichia virus RB14],1914209,YP_002854400.1,Escherichia virus RB14, RNA polymerase sigma factor,VOG02363,Escherichia virus RB14,phage,NCBI Refseq,209,NC_012638,2871,165429,100,TRUE,Escherichia virus RB14,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus,NC_012638,NA,NA,NA,561,Escherichia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,NA,NA,1,Myoviridae,0,185,100,FALSE
